S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
11,Northern Railway,37,1226,12.14,1203,60,95.25,0:44,Satisfactory,0:19,1535,0:14
1,Central Railway,23,959,9.50,975,7,99.29,0:17,Satisfactory,0:11,1397,0:06
2,East Central Railway,19,764,7.57,768,15,98.08,0:33,Satisfactory,0:15,1003,0:13
5,Irctc-Catering,9,737,7.30,742,4,99.46,1:09,Satisfactory,0:18,556,-
8,North Central Railway,8,660,6.54,655,13,98.05,0:17,Satisfactory,0:10,766,0:09
10,Northeast Frontier Railway,23,612,6.06,611,24,96.22,0:46,Satisfactory,0:43,561,0:08
9,North Eastern Railway,4,599,5.93,588,15,97.51,0:21,Satisfactory,0:13,537,0:07
20,Western Railway,5,598,5.92,597,6,99.00,0:17,Satisfactory,0:07,558,0:05
17,Southern Railway,8,505,5.00,485,28,94.54,0:26,Satisfactory,0:15,842,0:11
19,West Central Railway,11,489,4.84,487,13,97.40,0:21,Satisfactory,0:14,722,0:14
16,South Coast Railway,9,470,4.66,471,8,98.33,0:19,Satisfactory,0:14,452,0:03
4,Eastern Railway,14,423,4.19,427,10,97.71,0:26,Satisfactory,0:15,415,0:06
15,South Eastern Railway,13,366,3.63,362,17,95.51,0:40,Satisfactory,0:31,328,0:11
12,North Western Railway,4,351,3.48,352,3,99.15,0:19,Satisfactory,0:11,624,0:05
18,South Western Railway,9,324,3.21,325,8,97.60,0:27,Satisfactory,0:17,297,0:08
3,East Coast Railway,8,284,2.81,283,9,96.92,0:30,Satisfactory,0:16,214,0:09
6,Irctc-Online,3,277,2.74,267,13,95.36,0:20,Satisfactory,0:15,30,-
14,South Central Railway,3,260,2.58,262,1,99.62,0:29,Satisfactory,0:10,319,0:13
13,South East Central Railway,1,125,1.24,126,0,100.00,0:22,Satisfactory,0:19,171,0:07
7,Konkan Railway,1,67,0.66,65,3,95.59,0:48,Satisfactory,0:31,47,0:13
