S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
11,Northern Railway,34,1035,11.24,1033,36,96.63,0:34,Satisfactory,0:20,1306,0:14
5,Irctc-Catering,7,692,7.52,687,12,98.28,1:11,Satisfactory,0:18,562,-
20,Western Railway,3,692,7.52,685,10,98.56,0:19,Satisfactory,0:08,556,0:05
1,Central Railway,8,689,7.48,688,9,98.71,0:20,Satisfactory,0:13,983,0:07
8,North Central Railway,6,639,6.94,638,7,98.91,0:16,Satisfactory,0:09,790,0:08
2,East Central Railway,5,629,6.83,628,6,99.05,0:23,Satisfactory,0:12,747,0:10
10,Northeast Frontier Railway,16,590,6.41,582,24,96.04,0:43,Satisfactory,0:31,483,0:18
9,North Eastern Railway,8,482,5.24,485,5,98.98,0:19,Satisfactory,0:10,457,0:03
15,South Eastern Railway,14,482,5.24,480,16,96.77,0:39,Satisfactory,0:17,417,0:08
17,Southern Railway,13,469,5.09,469,13,97.30,0:27,Satisfactory,0:15,764,0:11
4,Eastern Railway,12,399,4.33,399,12,97.08,0:28,Satisfactory,0:15,438,0:05
3,East Coast Railway,9,391,4.25,394,6,98.50,0:42,Satisfactory,0:17,312,0:12
16,South Coast Railway,7,356,3.87,358,5,98.62,0:21,Excellent,0:15,356,0:03
19,West Central Railway,7,353,3.83,348,12,96.67,0:23,Satisfactory,0:15,581,0:05
18,South Western Railway,6,300,3.26,302,4,98.69,0:25,Satisfactory,0:17,257,0:05
14,South Central Railway,6,285,3.10,286,5,98.28,0:28,Satisfactory,0:12,283,0:10
12,North Western Railway,7,277,3.01,275,9,96.83,0:19,Satisfactory,0:13,498,0:07
6,Irctc-Online,1,256,2.78,254,3,98.83,0:09,UnSatisfactory,0:10,28,-
13,South East Central Railway,5,151,1.64,155,1,99.36,0:23,Satisfactory,0:17,183,0:12
7,Konkan Railway,2,39,0.42,41,0,100.00,0:56,Satisfactory,0:26,45,0:12
