S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
1,Northern Railway,27,1265,13.57,1228,64,95.05,0:42,Satisfactory,0:23,1357,0:18
2,East Central Railway,9,766,8.22,722,53,93.16,0:22,Satisfactory,0:13,960,0:08
3,North Eastern Railway,7,760,8.15,753,14,98.17,0:17,Satisfactory,0:17,496,0:07
4,Irctc-Catering,5,710,7.62,679,36,94.97,1:12,Satisfactory,0:24,446,-
5,Central Railway,8,694,7.45,662,40,94.30,0:21,Satisfactory,0:11,807,0:08
6,North Central Railway,8,565,6.06,554,19,96.68,0:16,Satisfactory,0:11,639,0:08
7,Northeast Frontier Railway,9,564,6.05,539,34,94.07,0:32,Satisfactory,0:27,450,0:07
8,Western Railway,1,531,5.70,515,17,96.80,0:16,Satisfactory,0:08,489,0:05
9,Southern Railway,4,513,5.50,491,26,94.97,0:31,Satisfactory,0:15,698,0:09
10,Eastern Railway,9,440,4.72,422,27,93.99,0:30,Satisfactory,0:18,393,0:08
11,South Eastern Railway,17,379,4.07,370,26,93.43,0:39,Satisfactory,0:22,339,0:09
12,South Coast Railway,13,369,3.96,360,22,94.24,0:27,Satisfactory,0:18,356,0:03
13,West Central Railway,4,349,3.74,339,14,96.03,0:20,Satisfactory,0:15,512,0:11
14,Irctc-Online,4,287,3.08,288,3,98.97,0:53,UnSatisfactory,0:54,33,-
15,South Western Railway,4,285,3.06,275,14,95.16,0:24,Satisfactory,0:17,264,0:10
16,North Western Railway,5,260,2.79,249,16,93.96,0:20,Excellent,0:11,503,0:06
17,South Central Railway,4,232,2.49,219,17,92.80,0:21,Satisfactory,0:12,236,0:07
18,East Coast Railway,3,223,2.39,212,14,93.81,0:51,Satisfactory,0:25,203,0:12
19,South East Central Railway,3,93,1.00,93,3,96.88,0:39,Excellent,0:15,127,0:06
20,Konkan Railway,0,36,0.39,35,1,97.22,0:42,Satisfactory,0:45,30,0:15
