S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
11,Northern Railway,50,1001,11.29,1015,36,96.57,0:40,Satisfactory,0:17,1396,0:11
2,East Central Railway,16,711,8.02,707,20,97.25,0:27,Satisfactory,0:12,894,0:08
1,Central Railway,7,669,7.54,664,12,98.22,0:21,Satisfactory,0:11,899,0:09
5,Irctc-Catering,3,642,7.24,637,8,98.76,1:09,Satisfactory,0:17,453,-
8,North Central Railway,16,641,7.23,651,6,99.09,0:18,Satisfactory,0:09,731,0:07
10,Northeast Frontier Railway,27,564,6.36,576,15,97.46,0:52,Satisfactory,0:32,490,0:12
20,Western Railway,4,534,6.02,537,1,99.81,0:17,Satisfactory,0:09,451,0:04
9,North Eastern Railway,7,531,5.99,537,1,99.81,0:20,Satisfactory,0:12,525,0:05
4,Eastern Railway,11,475,5.36,472,14,97.12,0:29,Satisfactory,0:20,525,0:04
15,South Eastern Railway,11,431,4.86,424,18,95.93,0:38,Satisfactory,0:21,336,0:10
17,Southern Railway,12,422,4.76,418,16,96.31,0:28,Satisfactory,0:14,537,0:11
3,East Coast Railway,10,358,4.04,355,13,96.47,0:40,Satisfactory,0:11,304,0:09
19,West Central Railway,6,353,3.98,350,9,97.49,0:17,Satisfactory,0:11,546,0:20
16,South Coast Railway,5,347,3.91,340,12,96.59,1:08,Satisfactory,0:23,358,0:10
12,North Western Railway,6,300,3.38,304,2,99.35,0:17,Excellent,0:11,420,0:06
6,Irctc-Online,13,263,2.97,274,2,99.28,0:54,Satisfactory,0:30,38,-
18,South Western Railway,7,244,2.75,243,8,96.81,0:23,Satisfactory,0:22,258,0:05
14,South Central Railway,4,239,2.70,236,7,97.12,0:24,Satisfactory,0:12,281,0:06
13,South East Central Railway,2,117,1.32,116,3,97.48,0:22,Satisfactory,0:13,136,0:08
7,Konkan Railway,1,25,0.28,26,0,100.00,0:55,Satisfactory,0:27,36,0:23
