S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
11,Northern Railway,27,893,10.64,883,37,95.98,0:38,Satisfactory,0:17,1223,0:08
2,East Central Railway,6,647,7.71,643,10,98.47,0:19,Satisfactory,0:13,712,0:06
1,Central Railway,9,616,7.34,616,9,98.56,0:20,Satisfactory,0:11,725,0:08
10,Northeast Frontier Railway,19,596,7.10,606,9,98.54,0:44,Satisfactory,0:29,482,0:10
5,Irctc-Catering,4,588,7.01,592,0,100.00,1:16,Satisfactory,0:15,495,-
20,Western Railway,4,521,6.21,525,0,100.00,0:19,Satisfactory,0:08,427,0:03
15,South Eastern Railway,36,497,5.92,519,14,97.37,0:40,Satisfactory,0:25,408,0:21
17,Southern Railway,14,462,5.50,468,8,98.32,0:28,Satisfactory,0:20,696,0:07
8,North Central Railway,8,450,5.36,451,7,98.47,0:17,Satisfactory,0:10,615,0:06
4,Eastern Railway,15,422,5.03,406,31,92.91,0:33,Satisfactory,0:17,429,0:07
9,North Eastern Railway,3,410,4.89,406,7,98.31,0:20,Satisfactory,0:10,368,0:04
19,West Central Railway,3,375,4.47,374,4,98.94,0:18,Satisfactory,0:13,470,0:10
16,South Coast Railway,10,345,4.11,344,11,96.90,0:25,Excellent,0:12,372,0:03
3,East Coast Railway,12,334,3.98,327,19,94.51,0:40,Satisfactory,0:20,269,0:15
18,South Western Railway,12,284,3.38,287,9,96.96,0:25,Satisfactory,0:15,243,0:09
12,North Western Railway,9,280,3.34,286,3,98.96,0:18,Satisfactory,0:13,516,0:04
6,Irctc-Online,0,275,3.28,266,9,96.73,0:26,Satisfactory,0:35,23,-
14,South Central Railway,5,217,2.59,221,1,99.55,0:26,Satisfactory,0:09,219,0:07
13,South East Central Railway,1,134,1.60,134,1,99.26,0:24,Satisfactory,0:15,90,0:06
7,Konkan Railway,4,47,0.56,49,2,96.08,0:43,Satisfactory,0:39,58,0:33
