S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
11,Northern Railway,54,1049,11.76,1047,56,94.92,0:38,Satisfactory,0:18,1335,0:11
2,East Central Railway,8,800,8.97,798,10,98.76,0:25,Satisfactory,0:14,907,0:07
5,Irctc-Catering,2,661,7.41,661,2,99.70,1:07,Satisfactory,0:17,479,-
8,North Central Railway,26,655,7.34,666,15,97.80,0:17,Satisfactory,0:08,820,0:10
1,Central Railway,3,646,7.24,640,9,98.61,0:23,Satisfactory,0:11,809,0:07
10,Northeast Frontier Railway,18,563,6.31,556,25,95.70,0:41,Satisfactory,0:24,449,0:14
20,Western Railway,1,558,6.26,555,4,99.28,0:17,Satisfactory,0:08,524,0:06
9,North Eastern Railway,10,535,6.00,535,10,98.17,0:22,Satisfactory,0:14,461,0:12
17,Southern Railway,21,445,4.99,451,15,96.78,0:29,Satisfactory,0:21,624,0:10
4,Eastern Railway,10,437,4.90,430,17,96.20,0:30,Satisfactory,0:16,369,0:07
15,South Eastern Railway,10,377,4.23,379,8,97.93,1:30,Satisfactory,0:22,360,0:11
19,West Central Railway,8,362,4.06,364,6,98.38,0:17,Satisfactory,0:10,556,0:10
16,South Coast Railway,7,351,3.94,351,7,98.04,0:21,Satisfactory,0:15,394,0:07
3,East Coast Railway,11,276,3.09,277,10,96.52,1:31,Satisfactory,0:19,224,0:21
12,North Western Railway,2,266,2.98,262,6,97.76,0:18,Satisfactory,0:14,467,0:06
6,Irctc-Online,6,261,2.93,254,13,95.13,0:32,Satisfactory,0:35,24,-
18,South Western Railway,9,256,2.87,257,8,96.98,0:22,Satisfactory,0:17,270,0:05
14,South Central Railway,5,246,2.76,247,4,98.41,0:27,Satisfactory,0:10,267,0:04
13,South East Central Railway,0,143,1.60,140,3,97.90,0:31,Satisfactory,0:19,214,0:08
7,Konkan Railway,3,31,0.35,34,0,100.00,0:56,Excellent,0:42,35,0:28
