S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
1,Northern Railway,51,679,12.71,677,53,92.74,0:47,Satisfactory,0:21,871,0:12
2,Central Railway,22,517,9.68,516,23,95.73,0:19,Satisfactory,0:11,674,0:04
3,East Central Railway,17,419,7.84,390,46,89.45,0:27,Satisfactory,0:17,474,0:08
4,North Eastern Railway,7,349,6.53,346,10,97.19,0:18,Satisfactory,0:13,291,0:07
5,North Central Railway,8,336,6.29,323,21,93.90,0:18,Satisfactory,0:09,387,0:08
6,Irctc-Catering,5,333,6.23,264,74,78.11,1:08,Satisfactory,0:19,279,-
7,Western Railway,0,320,5.99,306,14,95.63,0:18,Satisfactory,0:08,281,0:02
8,Northeast Frontier Railway,29,304,5.69,315,18,94.59,0:46,Satisfactory,0:27,259,0:11
9,Southern Railway,17,293,5.48,290,20,93.55,0:27,Satisfactory,0:16,442,0:08
10,West Central Railway,10,240,4.49,239,11,95.60,0:27,Satisfactory,0:15,348,0:09
11,South Coast Railway,10,238,4.45,237,11,95.56,0:26,Satisfactory,0:15,329,0:03
12,South Eastern Railway,14,201,3.76,195,20,90.70,0:40,Satisfactory,0:20,193,0:19
13,Eastern Railway,13,199,3.72,200,12,94.34,0:33,Satisfactory,0:18,237,0:05
14,Irctc-Online,11,181,3.39,177,15,92.19,0:25,UnSatisfactory,0:20,22,-
15,East Coast Railway,6,178,3.33,172,12,93.48,0:30,Satisfactory,0:17,146,0:10
16,South Western Railway,11,172,3.22,171,12,93.44,0:30,Satisfactory,0:19,174,0:05
17,South Central Railway,4,156,2.92,153,7,95.63,0:26,Satisfactory,0:11,153,0:03
18,North Western Railway,8,137,2.56,141,4,97.24,0:19,Satisfactory,0:12,255,0:03
19,South East Central Railway,3,68,1.27,67,4,94.37,0:23,Satisfactory,0:12,74,0:08
20,Konkan Railway,0,23,0.43,22,1,95.65,0:58,Satisfactory,0:28,25,0:11
