S.No.,Organisation,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
11,Northern Railway,34,1044,12.62,1060,18,98.33,0:39,Satisfactory,0:16,1363,0:12
2,East Central Railway,16,710,8.58,721,5,99.31,0:29,Satisfactory,0:13,858,0:06
5,Irctc-Catering,4,626,7.57,624,6,99.05,1:06,Satisfactory,0:17,474,-
1,Central Railway,8,589,7.12,587,10,98.32,0:19,Satisfactory,0:12,890,0:05
20,Western Railway,0,543,6.56,540,3,99.45,0:18,Satisfactory,0:08,417,0:02
10,Northeast Frontier Railway,15,533,6.44,525,23,95.80,0:43,Satisfactory,0:27,404,0:11
8,North Central Railway,9,514,6.21,516,7,98.66,0:17,Satisfactory,0:08,737,0:06
9,North Eastern Railway,4,445,5.38,439,10,97.77,0:31,Satisfactory,0:13,453,0:09
3,East Coast Railway,13,388,4.69,376,25,93.77,0:40,Satisfactory,0:19,365,0:15
16,South Coast Railway,10,383,4.63,389,4,98.98,0:20,Satisfactory,0:11,376,0:02
17,Southern Railway,16,371,4.48,381,6,98.45,0:26,Satisfactory,0:16,631,0:17
19,West Central Railway,6,360,4.35,355,11,96.99,0:17,Satisfactory,0:10,515,0:06
15,South Eastern Railway,21,342,4.13,349,14,96.14,0:36,Satisfactory,0:20,305,0:15
12,North Western Railway,1,321,3.88,321,1,99.69,0:20,Satisfactory,0:11,462,0:05
4,Eastern Railway,12,278,3.36,284,6,97.93,0:25,Satisfactory,0:18,269,0:05
18,South Western Railway,6,232,2.80,237,1,99.58,0:28,Satisfactory,0:16,187,0:08
6,Irctc-Online,6,228,2.76,233,1,99.57,0:17,Satisfactory,0:24,22,-
14,South Central Railway,8,224,2.71,231,1,99.57,0:24,Satisfactory,0:09,223,0:05
13,South East Central Railway,1,109,1.32,110,0,100.00,0:19,Satisfactory,0:22,132,0:09
7,Konkan Railway,0,33,0.40,32,1,96.97,0:43,Satisfactory,0:32,49,0:16
