S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
1,DELHI DIVISION (Northern Railway),8,386,3.82,383,11,97.21,0:46,Satisfactory,0:19,615,0:20
2,PRAYAGRAJ DIVISION (North Central Railway),1,302,2.99,299,4,98.68,0:15,Satisfactory,0:10,369,0:09
3,LUCKNOW DIVISION (North Eastern Railway),2,295,2.92,288,9,96.97,0:21,Satisfactory,0:13,273,0:10
4,LUCKNOW DIVISION (Northern Railway),8,289,2.86,279,18,93.94,0:44,Satisfactory,0:18,368,0:06
5,LUMDING DIVISION (Northeast Frontier Railway),5,279,2.76,272,12,95.77,1:00,Satisfactory,1:20,179,0:04
6,IRC (IRCTC),3,277,2.74,267,13,95.36,0:20,Satisfactory,0:10,244,-
7,BOMBAY DIVISION (Central Railway),4,270,2.67,271,3,98.91,0:24,Satisfactory,0:14,232,0:06
8,DANAPUR DIVISION (East Central Railway),9,264,2.61,269,4,98.53,0:37,Satisfactory,0:14,398,0:19
9,NAGPUR DIVISION (Central Railway),15,256,2.54,269,2,99.26,0:08,Satisfactory,0:11,248,0:04
10,JABALPUR DIVISION (West Central Railway),10,249,2.47,246,13,94.98,0:26,Satisfactory,0:19,283,0:23
11,KHURDA DIVISION (East Coast Railway),4,238,2.36,236,6,97.52,0:32,Satisfactory,0:16,170,0:10
12,JHANSI DIVISION (North Central Railway),4,237,2.35,240,1,99.59,0:20,Satisfactory,0:13,249,0:12
13,VARANASI DIVISION (North Eastern Railway),1,232,2.30,228,5,97.85,0:23,Satisfactory,0:13,233,0:05
14,MORADABAD DIVISION (Northern Railway),16,230,2.28,226,20,91.87,0:52,Satisfactory,0:17,214,0:15
15,BHUSAVAL DIVISION (Central Railway),2,211,2.09,213,0,100.00,0:14,Satisfactory,0:10,590,0:07
16,IRCTC EAST ZONE (IRCTC),0,207,2.05,207,0,100.00,1:16,Satisfactory,0:29,74,-
17,KHARAGPUR DIVISION (South Eastern Railway),7,201,1.99,199,9,95.67,0:40,Satisfactory,0:33,157,0:18
18,IRCTC NORTH ZONE (IRCTC),2,201,1.99,203,0,100.00,1:04,Satisfactory,0:18,99,-
19,CHENNAI DIVISION (Southern Railway),4,190,1.88,179,15,92.27,0:28,Satisfactory,0:20,279,0:12
20,MUMBAI DIVISION (Western Railway),1,189,1.87,189,1,99.47,0:20,Satisfactory,0:07,185,0:06
21,BANGALORE DIVISION (South Western Railway),3,180,1.78,177,6,96.72,0:23,Satisfactory,0:16,188,0:08
22,BHOPAL DIVISION (West Central Railway),1,178,1.76,179,0,100.00,0:18,Satisfactory,0:10,367,0:10
23,PUNE DIVISION (Central Railway),2,176,1.74,176,2,98.88,0:26,Satisfactory,0:15,256,0:04
24,SAMASTIPUR DIVISION (East Central Railway),0,169,1.67,163,6,96.45,0:39,Satisfactory,0:16,201,0:19
25,VIJAYAWADA DIVISION (South Coast Railway),5,163,1.61,163,5,97.02,0:16,Satisfactory,0:12,173,0:03
