S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
20,DELHI DIVISION (Northern Railway),14,405,4.90,415,4,99.05,0:35,Satisfactory,0:18,553,0:29
40,KHURDA DIVISION (East Coast Railway),13,339,4.10,328,24,93.18,0:43,Satisfactory,0:20,292,0:20
21,DANAPUR DIVISION (East Central Railway),4,308,3.72,309,3,99.04,0:36,UnSatisfactory,0:11,371,0:04
41,LUCKNOW DIVISION (North Eastern Railway),3,290,3.51,286,7,97.61,0:38,Satisfactory,0:14,232,0:12
43,LUMDING DIVISION (Northeast Frontier Railway),11,251,3.03,243,19,92.75,0:54,Satisfactory,0:38,137,0:11
42,LUCKNOW DIVISION (Northern Railway),2,232,2.80,230,4,98.29,0:37,Satisfactory,0:14,336,0:03
29,IRC (IRCTC),6,231,2.79,233,4,98.31,0:17,Satisfactory,0:10,190,-
32,JABALPUR DIVISION (West Central Railway),5,228,2.76,229,4,98.28,0:20,Satisfactory,0:14,205,0:11
17,BOMBAY DIVISION (Central Railway),4,227,2.74,225,6,97.40,0:24,Satisfactory,0:17,242,0:08
54,PRAYAGRAJ DIVISION (North Central Railway),8,212,2.56,215,5,97.73,0:21,Satisfactory,0:08,376,0:04
37,KHARAGPUR DIVISION (South Eastern Railway),14,197,2.38,201,10,95.26,0:36,Satisfactory,0:20,131,0:19
33,JHANSI DIVISION (North Central Railway),0,192,2.32,190,2,98.96,0:14,Excellent,0:08,243,0:07
7,MUMBAI DIVISION (Western Railway),0,191,2.31,188,3,98.43,0:19,Satisfactory,0:09,129,0:04
52,IRCTC NORTH ZONE (IRCTC),1,185,2.24,186,0,100.00,0:57,UnSatisfactory,0:13,127,-
22,IRCTC EAST ZONE (IRCTC),1,167,2.02,168,0,100.00,1:09,Satisfactory,0:34,91,-
64,BANGALORE DIVISION (South Western Railway),4,156,1.89,160,0,100.00,0:28,Satisfactory,0:14,138,0:08
79,IRCTC WEST ZONE (IRCTC),1,156,1.89,154,3,98.09,1:18,Satisfactory,0:11,37,-
44,CHENNAI DIVISION (Southern Railway),5,147,1.78,150,2,98.68,0:28,Satisfactory,0:20,195,0:21
78,VISAKHAPATNAM DIVISION (South Coast Railway),2,145,1.75,147,0,100.00,0:18,Satisfactory,0:08,118,0:01
71,SAMASTIPUR DIVISION (East Central Railway),4,142,1.72,144,2,98.63,0:25,Excellent,0:12,183,0:09
74,TINSUKIA DIVISION (Northeast Frontier Railway),1,132,1.60,132,1,99.25,0:37,Satisfactory,0:25,94,0:19
45,MORADABAD DIVISION (Northern Railway),10,127,1.54,133,4,97.08,0:58,Satisfactory,0:11,178,0:06
11,VARANASI DIVISION (North Eastern Railway),1,123,1.49,121,3,97.58,0:21,Satisfactory,0:13,189,0:05
1,AHMEDABAD DIVISION (Western Railway),0,119,1.44,119,0,100.00,0:20,Satisfactory,0:08,97,0:01
15,VIJAYAWADA DIVISION (South Coast Railway),1,119,1.44,120,0,100.00,0:14,Excellent,0:11,143,0:02
27,HOWRAH DIVISION (Eastern Railway),8,117,1.41,122,3,97.60,0:34,Satisfactory,0:20,130,0:02
66,SECUNDERABAD DIVISION (South Central Railway),7,116,1.40,122,1,99.19,0:30,Satisfactory,0:11,129,0:06
51,NAGPUR DIVISION (Central Railway),1,115,1.39,116,0,100.00,0:12,Satisfactory,0:10,117,0:03
9,BHOPAL DIVISION (West Central Railway),1,113,1.37,109,5,95.61,0:11,Satisfactory,0:09,243,0:06
23,FIROZPUR DIVISION (Northern Railway),6,113,1.37,116,3,97.48,0:40,Satisfactory,0:20,114,0:13
3,AGRA DIVISION (North Central Railway),1,110,1.33,111,0,100.00,0:15,Satisfactory,0:10,117,0:05
68,SONEPUR DIVISION (East Central Railway),1,110,1.33,111,0,100.00,0:17,Satisfactory,0:13,100,0:05
55,PUNE DIVISION (Central Railway),0,109,1.32,108,1,99.08,0:20,Satisfactory,0:11,240,0:03
75,THIRUVANANTHAPURAM DIVISION (Southern Railway),5,106,1.28,109,2,98.20,0:26,Satisfactory,0:21,137,0:30
25,GUNTAKAL DIVISION (South Coast Railway),7,102,1.23,106,3,97.25,0:31,Satisfactory,0:14,102,0:06
77,AMBALA DIVISION (Northern Railway),2,101,1.22,101,2,98.06,0:36,Satisfactory,0:18,94,0:02
