S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
20,DELHI DIVISION (Northern Railway),9,440,4.60,440,9,98.00,0:41,Satisfactory,0:25,555,0:22
41,LUCKNOW DIVISION (North Eastern Railway),8,370,3.87,365,13,96.56,0:19,Satisfactory,0:13,226,0:10
17,BOMBAY DIVISION (Central Railway),1,296,3.10,293,4,98.65,0:23,Satisfactory,0:13,299,0:06
21,DANAPUR DIVISION (East Central Railway),2,295,3.09,291,6,97.98,0:28,Satisfactory,0:15,431,0:04
33,JHANSI DIVISION (North Central Railway),2,270,2.82,247,25,90.81,0:17,Satisfactory,0:10,335,0:13
29,IRC (IRCTC),10,263,2.75,268,5,98.17,0:18,UnSatisfactory,0:11,230,-
54,PRAYAGRAJ DIVISION (North Central Railway),5,246,2.57,250,1,99.60,0:21,Satisfactory,0:10,299,0:15
43,LUMDING DIVISION (Northeast Frontier Railway),11,221,2.31,223,9,96.12,0:45,Satisfactory,0:37,126,0:05
44,CHENNAI DIVISION (Southern Railway),12,214,2.24,219,7,96.90,0:40,Satisfactory,0:24,240,0:16
52,IRCTC NORTH ZONE (IRCTC),0,213,2.23,213,0,100.00,0:57,UnSatisfactory,0:20,75,-
40,KHURDA DIVISION (East Coast Railway),6,212,2.22,212,6,97.25,0:51,Satisfactory,0:19,127,0:12
42,LUCKNOW DIVISION (Northern Railway),20,210,2.20,215,15,93.48,0:40,Satisfactory,0:16,300,0:05
32,JABALPUR DIVISION (West Central Railway),13,203,2.12,211,5,97.69,0:28,Satisfactory,0:19,212,0:17
75,THIRUVANANTHAPURAM DIVISION (Southern Railway),6,202,2.11,203,5,97.60,0:36,Satisfactory,0:20,233,0:04
45,MORADABAD DIVISION (Northern Railway),14,193,2.02,181,26,87.44,0:48,Satisfactory,0:26,233,0:13
11,VARANASI DIVISION (North Eastern Railway),4,192,2.01,195,1,99.49,0:32,Satisfactory,0:12,239,0:08
66,SECUNDERABAD DIVISION (South Central Railway),1,187,1.96,185,3,98.40,0:22,Satisfactory,0:10,204,0:08
64,BANGALORE DIVISION (South Western Railway),5,183,1.91,180,8,95.74,0:28,Satisfactory,0:17,167,0:09
22,IRCTC EAST ZONE (IRCTC),1,182,1.90,183,0,100.00,1:17,Satisfactory,0:30,97,-
27,HOWRAH DIVISION (Eastern Railway),4,182,1.90,180,6,96.77,0:31,Satisfactory,0:15,177,0:04
9,BHOPAL DIVISION (West Central Railway),2,181,1.89,180,3,98.36,0:20,Satisfactory,0:12,287,0:05
51,NAGPUR DIVISION (Central Railway),2,181,1.89,183,0,100.00,0:14,Satisfactory,0:07,190,0:03
37,KHARAGPUR DIVISION (South Eastern Railway),7,172,1.80,174,5,97.21,0:42,Satisfactory,0:18,128,0:19
7,MUMBAI DIVISION (Western Railway),1,166,1.74,166,1,99.40,0:17,Satisfactory,0:09,138,0:06
55,PUNE DIVISION (Central Railway),3,161,1.68,164,0,100.00,0:24,Satisfactory,0:15,190,0:05
71,SAMASTIPUR DIVISION (East Central Railway),5,161,1.68,163,3,98.19,0:34,Satisfactory,0:14,202,0:10
12,BHUSAVAL DIVISION (Central Railway),1,154,1.61,155,0,100.00,0:15,Satisfactory,0:10,344,0:05
79,IRCTC WEST ZONE (IRCTC),3,151,1.58,153,1,99.35,1:10,Satisfactory,0:28,52,-
67,SEALDAH DIVISION (Eastern Railway),3,149,1.56,149,3,98.03,0:20,Satisfactory,0:16,103,0:03
74,TINSUKIA DIVISION (Northeast Frontier Railway),3,140,1.46,141,2,98.60,0:33,Satisfactory,0:29,103,0:22
1,AHMEDABAD DIVISION (Western Railway),0,139,1.45,139,0,100.00,0:17,Satisfactory,0:07,168,0:03
62,RATLAM DIVISION (Western Railway),2,135,1.41,137,0,100.00,0:17,Satisfactory,0:08,92,0:02
18,Pt. DEEN DAYAL UPADHYAYA DIVISION (East Central Railway),1,132,1.38,133,0,100.00,0:16,Satisfactory,0:18,120,0:20
23,FIROZPUR DIVISION (Northern Railway),2,123,1.29,121,4,96.80,0:43,Satisfactory,0:15,144,0:12
38,KATIHAR DIVISION (Northeast Frontier Railway),4,117,1.22,117,4,96.69,0:30,Satisfactory,0:20,131,0:07
25,GUNTAKAL DIVISION (South Coast Railway),7,116,1.21,121,2,98.37,0:26,Satisfactory,0:26,114,0:04
34,JAIPUR DIVISION (North Western Railway),1,116,1.21,116,1,99.15,0:19,Satisfactory,0:17,186,0:09
78,VISAKHAPATNAM DIVISION (South Coast Railway),0,114,1.19,114,0,100.00,0:19,Satisfactory,0:13,99,0:01
15,VIJAYAWADA DIVISION (South Coast Railway),2,105,1.10,104,3,97.20,0:15,Satisfactory,0:10,205,0:01
68,SONEPUR DIVISION (East Central Railway),1,105,1.10,106,0,100.00,0:18,Satisfactory,0:10,87,0:12
3,AGRA DIVISION (North Central Railway),8,98,1.03,105,1,99.06,0:17,Satisfactory,0:10,120,0:07
47,MALDA DIVISION (Eastern Railway),1,96,1.00,94,3,96.91,0:17,Satisfactory,0:18,64,0:08
16,CHAKRADHARPUR DIVISION (South Eastern Railway),2,89,0.93,89,2,97.80,0:26,Satisfactory,0:26,75,0:05
19,DHANBAD DIVISION (East Central Railway),2,87,0.91,86,3,96.63,0:35,Satisfactory,0:36,107,0:04
31,JAMMU DIVISION (Northern Railway),5,84,0.88,88,1,98.88,1:12,Satisfactory,0:18,87,0:03
69,IRCTC SOUTH CENTRAL ZONE (IRCTC),0,78,0.82,78,0,100.00,0:59,Satisfactory,0:20,18,-
35,JODHPUR DIVISION (North Western Railway),1,74,0.77,75,0,100.00,0:17,Excellent,0:10,60,0:05
30,IZATNAGAR DIVISION (North Eastern Railway),5,72,0.75,77,0,100.00,0:18,Satisfactory,0:08,42,0:10
77,AMBALA DIVISION (Northern Railway),1,70,0.73,68,3,95.77,0:26,Satisfactory,0:16,111,0:04
8,BIKANER DIVISION (North Western Railway),2,66,0.69,66,2,97.06,0:09,Satisfactory,0:11,127,0:12
63,SALEM DIVISION (Southern Railway),2,65,0.68,66,1,98.51,0:14,Satisfactory,0:10,138,0:01
76,HUBLI DIVISION (South Western Railway),1,65,0.68,66,0,100.00,0:27,Satisfactory,0:13,55,0:02
13,BILASPUR DIVISION (South East Central Railway),0,62,0.65,62,0,100.00,0:27,Satisfactory,0:18,66,0:06
70,IRCTC SOUTH ZONE (IRCTC),2,62,0.65,64,0,100.00,0:57,Satisfactory,0:21,91,-
60,RANCHI DIVISION (South Eastern Railway),5,61,0.64,61,5,92.42,0:35,Excellent,0:25,71,0:03
48,MYSORE DIVISION (South Western Railway),0,59,0.62,58,1,98.31,0:25,Satisfactory,0:20,36,0:02
28,HYDERABAD DIVISION (South Central Railway),0,57,0.60,55,2,96.49,0:17,Satisfactory,0:10,32,0:07
72,SHOLAPUR DIVISION (Central Railway),0,55,0.58,55,0,100.00,0:12,Satisfactory,0:08,47,0:12
4,AJMER DIVISION (North Western Railway),3,54,0.56,56,1,98.25,0:18,Excellent,0:07,110,0:05
53,PALGHAT DIVISION (Southern Railway),2,48,0.50,49,1,98.00,0:22,Satisfactory,0:10,95,0:17
14,BHAVNAGAR DIVISION (Western Railway),0,47,0.49,47,0,100.00,0:16,Satisfactory,0:06,18,0:00
56,RAIPUR DIVISION (South East Central Railway),0,44,0.46,44,0,100.00,0:30,Excellent,0:21,27,0:15
65,SAMBALPUR DIVISION (East Coast Railway),0,38,0.40,38,0,100.00,0:09,Excellent,0:08,48,0:08
73,TRICHURAPALLI DIVISION (Southern Railway),1,38,0.40,37,2,94.87,0:32,Satisfactory,0:20,44,0:17
6,ASANSOL DIVISION (Eastern Railway),1,37,0.39,37,1,97.37,0:17,Satisfactory,0:10,59,0:03
36,KARWAR DIVISION (Konkan Railway),3,37,0.39,38,2,95.00,0:42,Satisfactory,0:27,45,0:15
39,KOTA DIVISION (West Central Railway),0,37,0.39,37,0,100.00,0:12,Excellent,0:08,65,0:04
50,NANDED DIVISION (South Central Railway),0,37,0.39,36,1,97.30,0:20,UnSatisfactory,0:08,41,0:07
10,VADODARA DIVISION (Western Railway),1,35,0.37,36,0,100.00,0:12,Satisfactory,0:07,61,0:19
46,MADURAI DIVISION (Southern Railway),4,29,0.30,29,4,87.88,0:22,Satisfactory,0:11,75,0:03
61,RANGIYA DIVISION (Northeast Frontier Railway),3,29,0.30,32,0,100.00,0:22,Satisfactory,0:30,40,0:06
24,GUNTUR DIVISION (South Coast Railway),0,25,0.26,24,1,96.00,0:33,Satisfactory,0:06,39,0:01
5,ALIPURDUAR DIVISION (Northeast Frontier Railway),0,24,0.25,24,0,100.00,0:24,Excellent,0:29,25,0:06
26,HEAD QUARTER,1,24,0.25,24,1,96.00,0:54,UnSatisfactory,0:57,25,-
49,NAGPUR DIVISION (South East Central Railway),0,24,0.25,24,0,100.00,0:16,Excellent,0:11,42,0:01
58,RAJKOT DIVISION (Western Railway),1,24,0.25,25,0,100.00,0:05,Satisfactory,0:03,23,0:00
2,ADRA DIVISION (South Eastern Railway),1,18,0.19,19,0,100.00,0:37,Satisfactory,0:36,17,0:00
59,RATNAGIRI DIVISION (Konkan Railway),1,9,0.09,10,0,100.00,0:38,Satisfactory,0:36,10,0:29
57,RAYAGADA DIVISION (East Coast Railway),3,8,0.08,7,4,63.64,18:51,Satisfactory,0:12,14,0:04
