S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
20,DELHI DIVISION (Northern Railway),11,408,4.43,402,17,95.94,0:31,Satisfactory,0:23,530,0:27
40,KHURDA DIVISION (East Coast Railway),7,347,3.77,350,4,98.87,0:45,Satisfactory,0:18,258,0:14
41,LUCKNOW DIVISION (North Eastern Railway),4,301,3.27,301,4,98.69,0:18,Satisfactory,0:10,259,0:03
43,LUMDING DIVISION (Northeast Frontier Railway),11,273,2.97,268,16,94.37,0:59,Satisfactory,0:43,221,0:39
7,MUMBAI DIVISION (Western Railway),0,270,2.93,265,5,98.15,0:23,Satisfactory,0:08,191,0:18
21,DANAPUR DIVISION (East Central Railway),2,257,2.79,255,4,98.46,0:23,Satisfactory,0:09,284,0:10
29,IRC (IRCTC),1,257,2.79,254,4,98.45,0:09,UnSatisfactory,0:07,209,-
37,KHARAGPUR DIVISION (South Eastern Railway),11,239,2.60,247,3,98.80,0:41,Satisfactory,0:18,179,0:13
54,PRAYAGRAJ DIVISION (North Central Railway),4,233,2.53,237,0,100.00,0:19,Satisfactory,0:10,367,0:04
17,BOMBAY DIVISION (Central Railway),1,231,2.51,229,3,98.71,0:26,Satisfactory,0:12,277,0:08
42,LUCKNOW DIVISION (Northern Railway),12,226,2.45,230,8,96.64,0:35,Satisfactory,0:21,311,0:06
33,JHANSI DIVISION (North Central Railway),0,217,2.36,213,4,98.16,0:17,Satisfactory,0:10,264,0:13
52,IRCTC NORTH ZONE (IRCTC),2,203,2.21,205,0,100.00,1:05,Satisfactory,0:29,115,-
64,BANGALORE DIVISION (South Western Railway),5,193,2.10,197,1,99.49,0:24,Satisfactory,0:18,180,0:06
22,IRCTC EAST ZONE (IRCTC),2,192,2.09,191,3,98.45,1:13,Satisfactory,0:24,87,-
3,AGRA DIVISION (North Central Railway),2,189,2.05,188,3,98.43,0:12,Satisfactory,0:08,158,0:07
1,AHMEDABAD DIVISION (Western Railway),0,180,1.96,177,3,98.33,0:21,Satisfactory,0:09,130,0:03
27,HOWRAH DIVISION (Eastern Railway),6,180,1.96,178,8,95.70,0:36,Satisfactory,0:15,200,0:02
32,JABALPUR DIVISION (West Central Railway),6,179,1.94,177,8,95.68,0:27,Satisfactory,0:22,193,0:07
66,SECUNDERABAD DIVISION (South Central Railway),0,171,1.86,168,3,98.25,0:34,Satisfactory,0:12,178,0:12
12,BHUSAVAL DIVISION (Central Railway),0,158,1.72,156,2,98.73,0:11,Satisfactory,0:13,270,0:07
79,IRCTC WEST ZONE (IRCTC),3,155,1.68,153,5,96.84,1:15,UnSatisfactory,0:13,57,-
16,CHAKRADHARPUR DIVISION (South Eastern Railway),1,151,1.64,145,7,95.39,0:32,UnSatisfactory,0:15,151,0:07
75,THIRUVANANTHAPURAM DIVISION (Southern Railway),6,150,1.63,154,2,98.72,0:30,Satisfactory,0:19,169,0:11
44,CHENNAI DIVISION (Southern Railway),3,145,1.58,140,8,94.59,0:31,Satisfactory,0:21,234,0:13
74,TINSUKIA DIVISION (Northeast Frontier Railway),1,142,1.54,142,1,99.30,0:34,Excellent,0:22,88,0:10
9,BHOPAL DIVISION (West Central Railway),1,138,1.50,136,3,97.84,0:20,Satisfactory,0:12,309,0:04
11,VARANASI DIVISION (North Eastern Railway),4,133,1.44,136,1,99.27,0:22,Satisfactory,0:10,168,0:03
45,MORADABAD DIVISION (Northern Railway),6,130,1.41,131,5,96.32,0:41,Satisfactory,0:12,189,0:06
15,VIJAYAWADA DIVISION (South Coast Railway),1,126,1.37,127,0,100.00,0:16,Satisfactory,0:11,145,0:04
78,VISAKHAPATNAM DIVISION (South Coast Railway),1,121,1.31,120,2,98.36,0:25,Satisfactory,0:11,102,0:01
23,FIROZPUR DIVISION (Northern Railway),4,119,1.29,121,2,98.37,0:36,Satisfactory,0:20,104,0:11
55,PUNE DIVISION (Central Railway),4,119,1.29,122,1,99.19,0:27,Excellent,0:14,239,0:05
38,KATIHAR DIVISION (Northeast Frontier Railway),4,118,1.28,117,5,95.90,0:27,Satisfactory,0:18,101,0:05
62,RATLAM DIVISION (Western Railway),2,117,1.27,117,2,98.32,0:17,Excellent,0:09,109,0:04
34,JAIPUR DIVISION (North Western Railway),3,113,1.23,112,4,96.55,0:21,Satisfactory,0:16,195,0:08
51,NAGPUR DIVISION (Central Railway),0,109,1.18,108,1,99.08,0:13,Satisfactory,0:09,121,0:05
67,SEALDAH DIVISION (Eastern Railway),3,102,1.11,104,1,99.05,0:21,Satisfactory,0:17,81,0:08
71,SAMASTIPUR DIVISION (East Central Railway),1,98,1.06,99,0,100.00,0:34,Satisfactory,0:14,148,0:16
68,SONEPUR DIVISION (East Central Railway),0,97,1.05,95,2,97.94,0:15,Satisfactory,0:10,102,0:03
18,Pt. DEEN DAYAL UPADHYAYA DIVISION (East Central Railway),1,94,1.02,95,0,100.00,0:19,Excellent,0:14,139,0:06
69,IRCTC SOUTH CENTRAL ZONE (IRCTC),0,86,0.93,84,2,97.67,0:57,Satisfactory,0:21,37,-
19,DHANBAD DIVISION (East Central Railway),0,82,0.89,82,0,100.00,0:25,Satisfactory,0:15,74,0:04
25,GUNTAKAL DIVISION (South Coast Railway),5,82,0.89,85,2,97.70,0:27,Excellent,0:29,82,0:03
60,RANCHI DIVISION (South Eastern Railway),2,81,0.88,78,5,93.98,0:40,Satisfactory,0:22,57,0:06
77,AMBALA DIVISION (Northern Railway),1,76,0.83,75,2,97.40,0:31,Satisfactory,0:19,98,0:02
72,SHOLAPUR DIVISION (Central Railway),3,72,0.78,73,2,97.33,0:19,Satisfactory,0:11,76,0:03
31,JAMMU DIVISION (Northern Railway),0,69,0.75,67,2,97.10,0:37,Satisfactory,0:17,61,0:02
47,MALDA DIVISION (Eastern Railway),2,68,0.74,69,1,98.57,0:20,Satisfactory,0:19,59,0:10
63,SALEM DIVISION (Southern Railway),1,67,0.73,66,2,97.06,0:11,Satisfactory,0:06,94,0:01
76,HUBLI DIVISION (South Western Railway),0,67,0.73,67,0,100.00,0:23,Satisfactory,0:13,40,0:04
14,BHAVNAGAR DIVISION (Western Railway),0,66,0.72,66,0,100.00,0:16,Satisfactory,0:13,38,0:00
8,BIKANER DIVISION (North Western Railway),0,65,0.71,63,2,96.92,0:13,Satisfactory,0:11,126,0:06
13,BILASPUR DIVISION (South East Central Railway),3,60,0.65,63,0,100.00,0:26,Satisfactory,0:19,91,0:13
50,NANDED DIVISION (South Central Railway),2,58,0.63,59,1,98.33,0:18,Satisfactory,0:07,65,0:09
35,JODHPUR DIVISION (North Western Railway),1,57,0.62,57,1,98.28,0:24,Excellent,0:11,54,0:07
28,HYDERABAD DIVISION (South Central Railway),4,56,0.61,59,1,98.33,0:22,Excellent,0:09,39,0:04
56,RAIPUR DIVISION (South East Central Railway),1,55,0.60,56,0,100.00,0:26,Satisfactory,0:18,49,0:18
70,IRCTC SOUTH ZONE (IRCTC),0,55,0.60,54,1,98.18,1:32,Satisfactory,0:23,85,-
30,IZATNAGAR DIVISION (North Eastern Railway),0,48,0.52,48,0,100.00,0:12,Excellent,0:12,29,0:03
6,ASANSOL DIVISION (Eastern Railway),1,47,0.51,46,2,95.83,0:22,Satisfactory,0:12,98,0:03
10,VADODARA DIVISION (Western Railway),1,46,0.50,47,0,100.00,0:10,Satisfactory,0:04,65,0:04
53,PALGHAT DIVISION (Southern Railway),0,44,0.48,43,1,97.73,0:15,Satisfactory,0:09,143,0:06
