S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
1,DELHI DIVISION (Northern Railway),14,429,4.32,436,7,98.42,0:33,Satisfactory,0:17,698,0:12
2,LUCKNOW DIVISION (North Eastern Railway),6,428,4.31,432,2,99.54,0:17,Satisfactory,0:14,310,0:07
3,IRC (IRCTC),11,317,3.19,325,3,99.09,0:20,UnSatisfactory,0:11,230,-
4,BOMBAY DIVISION (Central Railway),10,316,3.18,319,7,97.85,0:25,Satisfactory,0:11,290,0:06
5,LUCKNOW DIVISION (Northern Railway),14,293,2.95,300,7,97.72,0:46,Satisfactory,0:20,329,0:04
6,PRAYAGRAJ DIVISION (North Central Railway),0,290,2.92,287,3,98.97,0:17,Satisfactory,0:08,413,0:06
7,DANAPUR DIVISION (East Central Railway),6,275,2.77,271,10,96.44,0:29,UnSatisfactory,0:11,289,0:02
8,KHURDA DIVISION (East Coast Railway),3,256,2.58,255,4,98.46,0:24,Satisfactory,0:16,174,0:09
9,LUMDING DIVISION (Northeast Frontier Railway),22,249,2.51,267,4,98.52,1:01,Satisfactory,0:38,157,0:09
10,IRCTC NORTH ZONE (IRCTC),1,231,2.33,232,0,100.00,1:05,UnSatisfactory,0:42,136,-
11,JABALPUR DIVISION (West Central Railway),7,230,2.32,226,11,95.36,0:26,Satisfactory,0:16,240,0:10
12,PUNE DIVISION (Central Railway),3,219,2.21,220,2,99.10,0:24,Satisfactory,0:13,308,0:04
13,JHANSI DIVISION (North Central Railway),5,218,2.20,219,4,98.21,0:21,Satisfactory,0:11,270,0:10
14,MUMBAI DIVISION (Western Railway),0,215,2.17,212,3,98.60,0:21,Satisfactory,0:08,230,0:04
15,KHARAGPUR DIVISION (South Eastern Railway),6,212,2.14,214,4,98.17,0:42,Satisfactory,0:27,173,0:19
16,BHUSAVAL DIVISION (Central Railway),7,206,2.07,200,13,93.90,0:12,Satisfactory,0:08,411,0:02
17,IRCTC EAST ZONE (IRCTC),0,203,2.04,203,0,100.00,1:20,Satisfactory,0:23,88,-
18,CHENNAI DIVISION (Southern Railway),7,203,2.04,205,5,97.62,0:30,Satisfactory,0:15,277,0:10
19,BANGALORE DIVISION (South Western Railway),3,203,2.04,203,3,98.54,0:27,Satisfactory,0:17,201,0:04
20,MORADABAD DIVISION (Northern Railway),7,192,1.93,185,14,92.96,0:50,Satisfactory,0:20,269,0:20
21,SAMASTIPUR DIVISION (East Central Railway),4,192,1.93,195,1,99.49,0:29,Satisfactory,0:15,295,0:09
22,VARANASI DIVISION (North Eastern Railway),1,180,1.81,179,2,98.90,0:23,Satisfactory,0:14,196,0:07
23,BHOPAL DIVISION (West Central Railway),2,173,1.74,174,1,99.43,0:19,Satisfactory,0:13,326,0:08
